LED_type,Sample_ID,Material,Dies,CCT,Ts,IF,Time,Flux
1,8,2,2,2700,56.8,100,7601,97.9
1,8,2,2,2700,56.8,100,8436,97.6
1,8,2,2,2700,56.8,100,9269,97.7
1,8,2,2,2700,56.8,100,10100,98
1,9,2,2,2700,56.8,100,0,100
1,9,2,2,2700,56.8,100,541,99.4
1,9,2,2,2700,56.8,100,1008,99.5
1,9,2,2,2700,56.8,100,1698,99.4
1,9,2,2,2700,56.8,100,2380,98.8
1,9,2,2,2700,56.8,100,3142,99
1,9,2,2,2700,56.8,100,3830,98.8
1,9,2,2,2700,56.8,100,4545,98.5
1,9,2,2,2700,56.8,100,5210,98.6
1,9,2,2,2700,56.8,100,6044,98.5
1,9,2,2,2700,56.8,100,6805,98.2
1,9,2,2,2700,56.8,100,7601,98.2
1,9,2,2,2700,56.8,100,8436,98
1,9,2,2,2700,56.8,100,9269,98
1,9,2,2,2700,56.8,100,10100,98.1
1,10,2,2,2700,56.8,100,0,100
1,10,2,2,2700,56.8,100,541,99.3
1,10,2,2,2700,56.8,100,1008,99.5
1,10,2,2,2700,56.8,100,1698,99.4
1,10,2,2,2700,56.8,100,2380,98.9
1,10,2,2,2700,56.8,100,3142,99.1
1,10,2,2,2700,56.8,100,3830,98.9
1,10,2,2,2700,56.8,100,4545,98.7
1,10,2,2,2700,56.8,100,5210,98.8
1,10,2,2,2700,56.8,100,6044,98.8
1,10,2,2,2700,56.8,100,6805,98.6
1,10,2,2,2700,56.8,100,7601,98.5
1,10,2,2,2700,56.8,100,8436,98.3
1,10,2,2,2700,56.8,100,9269,98.3
1,10,2,2,2700,56.8,100,10100,98.3
1,11,2,2,2700,56.8,100,0,100
1,11,2,2,2700,56.8,100,541,98.7
1,11,2,2,2700,56.8,100,1008,99
1,11,2,2,2700,56.8,100,1698,98.9
1,11,2,2,2700,56.8,100,2380,98.6
1,11,2,2,2700,56.8,100,3142,98.4
1,11,2,2,2700,56.8,100,3830,98.4
1,11,2,2,2700,56.8,100,4545,98.3
1,11,2,2,2700,56.8,100,5210,98.2
1,11,2,2,2700,56.8,100,6044,98.3
1,11,2,2,2700,56.8,100,6805,98.1
1,11,2,2,2700,56.8,100,7601,98
1,11,2,2,2700,56.8,100,8436,97.9
1,11,2,2,2700,56.8,100,9269,97.6
1,11,2,2,2700,56.8,100,10100,97.7
1,12,2,2,2700,56.8,100,0,100
1,12,2,2,2700,56.8,100,541,99
1,12,2,2,2700,56.8,100,1008,99.1
1,12,2,2,2700,56.8,100,1698,99.1
1,12,2,2,2700,56.8,100,2380,98.9
1,12,2,2,2700,56.8,100,3142,98.7
1,12,2,2,2700,56.8,100,3830,98.6
1,12,2,2,2700,56.8,100,4545,98.5
1,12,2,2,2700,56.8,100,5210,98.6
1,12,2,2,2700,56.8,100,6044,98.7
1,12,2,2,2700,56.8,100,6805,98.5
1,12,2,2,2700,56.8,100,7601,98.5
1,12,2,2,2700,56.8,100,8436,98.4
1,12,2,2,2700,56.8,100,9269,98.2
1,12,2,2,2700,56.8,100,10100,98.3
1,13,2,2,2700,56.8,100,0,100
1,13,2,2,2700,56.8,100,541,99
1,13,2,2,2700,56.8,100,1008,99.2
1,13,2,2,2700,56.8,100,1698,99.1
1,13,2,2,2700,56.8,100,2380,98.9
1,13,2,2,2700,56.8,100,3142,98.7
1,13,2,2,2700,56.8,100,3830,98.7
1,13,2,2,2700,56.8,100,4545,98.5
1,13,2,2,2700,56.8,100,5210,98.6
1,13,2,2,2700,56.8,100,6044,98.7
1,13,2,2,2700,56.8,100,6805,98.6
1,13,2,2,2700,56.8,100,7601,98.7
1,13,2,2,2700,56.8,100,8436,98.5
1,13,2,2,2700,56.8,100,9269,98.2
1,13,2,2,2700,56.8,100,10100,98.5
1,14,2,2,2700,56.8,100,0,100
1,14,2,2,2700,56.8,100,541,98.8
1,14,2,2,2700,56.8,100,1008,98.8
1,14,2,2,2700,56.8,100,1698,98.7
1,14,2,2,2700,56.8,100,2380,98.4
1,14,2,2,2700,56.8,100,3142,98.2
1,14,2,2,2700,56.8,100,3830,98.2
1,14,2,2,2700,56.8,100,4545,98
1,14,2,2,2700,56.8,100,5210,98
1,14,2,2,2700,56.8,100,6044,97.9
1,14,2,2,2700,56.8,100,6805,97.8
1,14,2,2,2700,56.8,100,7601,97.9
1,14,2,2,2700,56.8,100,8436,97.6
1,14,2,2,2700,56.8,100,9269,97.4
1,14,2,2,2700,56.8,100,10100,97.7
1,15,2,2,2700,56.8,100,0,100
1,15,2,2,2700,56.8,100,541,99
1,15,2,2,2700,56.8,100,1008,99.1
1,15,2,2,2700,56.8,100,1698,99.1
1,15,2,2,2700,56.8,100,2380,98.8
1,15,2,2,2700,56.8,100,3142,98.6
1,15,2,2,2700,56.8,100,3830,98.5
1,15,2,2,2700,56.8,100,4545,98.4
1,15,2,2,2700,56.8,100,5210,98.4
1,15,2,2,2700,56.8,100,6044,98.2
1,15,2,2,2700,56.8,100,6805,98.2
1,15,2,2,2700,56.8,100,7601,98.2
1,15,2,2,2700,56.8,100,8436,98.1
1,15,2,2,2700,56.8,100,9269,97.9
1,15,2,2,2700,56.8,100,10100,98.4
1,16,2,2,2700,56.8,100,0,100
1,16,2,2,2700,56.8,100,541,98.6
1,16,2,2,2700,56.8,100,1008,98.6
1,16,2,2,2700,56.8,100,1698,98.6
1,16,2,2,2700,56.8,100,2380,98.4
1,16,2,2,2700,56.8,100,3142,98.2
1,16,2,2,2700,56.8,100,3830,98.1
1,16,2,2,2700,56.8,100,4545,98.3
1,16,2,2,2700,56.8,100,5210,98.1
1,16,2,2,2700,56.8,100,6044,97.8
1,16,2,2,2700,56.8,100,6805,97.7
1,16,2,2,2700,56.8,100,7601,97.7
1,16,2,2,2700,56.8,100,8436,97.7
1,16,2,2,2700,56.8,100,9269,97.5
1,16,2,2,2700,56.8,100,10100,98.1
1,17,2,2,2700,56.8,100,0,100
1,17,2,2,2700,56.8,100,541,98.7
1,17,2,2,2700,56.8,100,1008,98.7
1,17,2,2,2700,56.8,100,1698,98.6
1,17,2,2,2700,56.8,100,2380,98.4
1,17,2,2,2700,56.8,100,3142,98.1
1,17,2,2,2700,56.8,100,3830,98
1,17,2,2,2700,56.8,100,4545,98.1
1,17,2,2,2700,56.8,100,5210,97.9
1,17,2,2,2700,56.8,100,6044,97.5
1,17,2,2,2700,56.8,100,6805,97.4
1,17,2,2,2700,56.8,100,7601,97.3
1,17,2,2,2700,56.8,100,8436,97.3
1,17,2,2,2700,56.8,100,9269,97
1,17,2,2,2700,56.8,100,10100,97.6
1,18,2,2,2700,56.8,100,0,100
