Test_ID,Sample_ID,Time,Flux_t,DeltaColor_t
1,3,368,0.83867,0.007330293
1,3,391,0.86136,0.0075519
1,3,414,0.83804,0.007654881
1,3,437,0.84982,0.00751992
1,3,460,0.84388,0.007425039
1,3,483,0.84342,0.007646516
1,3,506,0.84654,0.007871417
1,3,529,0.82794,0.007931154
1,3,552,0.82614,0.008342494
1,3,575,0.8323,0.008216885
1,3,598,0.83236,0.008187503
1,3,621,0.81894,0.008187503
1,3,644,0.81898,0.008407925
1,3,667,0.80837,0.008819705
1,3,690,0.75912,0.008701563
1,3,713,0.74646,0.009189951
1,3,736,0.75689,0.009142166
1,3,759,0.74821,0.008924976
1,3,782,0.74262,0.008966449
1,3,805,0.73089,0.009275732
1,3,828,0.73201,0.009280797
1,3,851,0.73529,0.009107755
1,3,874,0.70321,0.009686444
1,3,897,0.72002,0.01005282
1,3,920,0.71737,0.009818717
1,3,943,0.71284,0.009280797
1,3,966,0.71881,0.009504273
1,3,989,0.69348,0.00959527
1,3,1012,0.71583,0.00959527
1,3,1035,0.70332,0.009280797
1,3,1058,0.70569,0.009901374
1,3,1081,0.7185,0.009365746
1,3,1104,0.70287,0.00963448
1,3,1127,0.70573,0.00972323
1,3,1150,0.70295,0.009499642
1,3,1173,0.68361,0.009410909
1,3,1196,0.68814,0.009052138
1,3,1219,0.68903,0.009096329
1,3,1242,0.68044,0.009553596
1,3,1265,0.6892,0.008247012
1,3,1288,0.67899,0.008875314
1,3,1311,0.6786,0.008649116
1,3,1334,0.67068,0.009146103
1,3,1357,0.66866,0.009589327
1,3,1380,0.65496,0.009142166
1,3,1403,0.67222,0.009677768
1,3,1426,0.65888,0.010128238
1,3,1449,0.65442,0.009767149
1,3,1472,0.65229,0.010128238
1,3,1495,0.65279,0.010487097
1,3,1518,0.64353,0.008917802
1,3,1541,0.63978,0.00961765
1,3,1564,0.6419,0.009457653
1,3,1587,0.63924,0.009993058
1,3,1610,0.6398,0.009769504
1,3,1633,0.64023,0.009858053
1,4,0,1,0
1,4,23,0.99013,0.00112712
1,4,46,0.9343,0.00346156
1,4,69,0.95188,0.004022735
1,4,92,0.93933,0.004618052
1,4,115,0.89542,0.004527295
1,4,138,0.92805,0.004841529
1,4,161,0.92841,0.004841529
1,4,184,0.91978,0.005156006
1,4,207,0.91426,0.005694067
1,4,230,0.91051,0.005877278
1,4,253,0.90718,0.006100525
1,4,276,0.90015,0.006415637
1,4,299,0.88936,0.006377021
1,4,322,0.89699,0.006432915
1,4,345,0.88749,0.006619849
1,4,368,0.85423,0.006935878
1,4,391,0.87401,0.007101014
1,4,414,0.87069,0.007194053
1,4,437,0.86828,0.00715824
1,4,460,0.86521,0.007064729
1,4,483,0.86107,0.007251924
1,4,506,0.85835,0.007312072
1,4,529,0.85395,0.007501093
1,4,552,0.85195,0.007817314
1,4,575,0.84637,0.007628263
1,4,598,0.85018,0.007628263
1,4,621,0.84464,0.007501093
1,4,644,0.83765,0.00772272
1,4,667,0.83181,0.008133536
1,4,690,0.77679,0.008104221
1,4,713,0.76099,0.008821247
1,4,736,0.77167,0.008868393
1,4,759,0.7644,0.008374151
1,4,782,0.76349,0.008150607
1,4,805,0.75816,0.008597697
1,4,828,0.75485,0.008686219
1,4,851,0.75862,0.008193192
1,4,874,0.71912,0.008956473
1,4,897,0.74183,0.008868393
1,4,920,0.73959,0.008868393
1,4,943,0.73688,0.008557126
1,4,966,0.73675,0.008868393
1,4,989,0.71386,0.008863995
1,4,1012,0.74326,0.008597697
1,4,1035,0.71874,0.008597697
1,4,1058,0.73191,0.008829066
1,4,1081,0.73098,0.008741991
1,4,1104,0.72213,0.008705538
1,4,1127,0.72595,0.009031523
1,4,1150,0.72746,0.00850943
1,4,1173,0.71156,0.008518709
1,4,1196,0.71162,0.008518709
1,4,1219,0.70953,0.008741991
1,4,1242,0.70717,0.008878423
1,4,1265,0.7039,0.007848974
1,4,1288,0.70047,0.008295445
1,4,1311,0.69299,0.008382386
1,4,1334,0.68941,0.008518709
1,4,1357,0.67954,0.009139825
1,4,1380,0.68001,0.008868393
1,4,1403,0.68088,0.00901501
1,4,1426,0.67579,0.009188602
1,4,1449,0.67048,0.008791837
1,4,1472,0.67295,0.008842534
1,4,1495,0.67148,0.008868393
1,4,1518,0.65072,0.008396571
1,4,1541,0.65656,0.008868393
1,4,1564,0.65196,0.008619536
1,4,1587,0.65664,0.008878423
1,4,1610,0.65347,0.008705538
1,4,1633,0.64716,0.008894065
1,5,0,1,0
1,5,23,1.00203,0.000926499
1,5,46,0.96057,0.002531482
1,5,69,0.98747,0.00276702
1,5,92,0.96346,0.003158861
1,5,115,0.91585,0.003382366
1,5,138,0.95013,0.003470792
1,5,161,0.94511,0.003559831
1,5,184,0.93977,0.003830196
1,5,207,0.93344,0.004144683
1,5,230,0.93291,0.004327863
1,5,253,0.92769,0.004551088
1,5,276,0.91872,0.004866251
1,5,299,0.91632,0.004828085
1,5,322,0.92103,0.004885325
1,5,345,0.9098,0.004979197
